_id,_type,item,long,oid,pin,short
85,vertex,_id,AUT1 essential for autophagocytosis,85,F,YNR007C
86,vertex,_id,"BAT2 branched chain amino acid aminotransferase,cytosolic",86,G,YJR148W
88,vertex,_id,BDF2 similarity to bromodomain protein BDF1P,88,B,YDL070W
89,vertex,_id,BDF1 sporulation protein,89,B,YLR399C
90,vertex,_id,BEM1 bud emergence mediator,90,C,YBR200W
91,vertex,_id,BOI2 budding protein,91,C,YER114C
92,vertex,_id,CDC24 GTP/GDP exchange factor for CDC42P,92,D,YAL041W
93,vertex,_id,BET3 involved in targeting and fusion of ER to golgi transport vesicles,93,O,YKR068C
94,vertex,_id,"FKS1 1,3-beta-D-glucan synthase,catalytic subunit",94,M,YLR342W
95,vertex,_id,TRS120 TRAPP subunit of 120 kDa involved in targeting and fusion of ER to golgi transport vesicles,95,O,YDR407C
98,vertex,_id,TRS31 TRAPP subunit of 31 kDa involved in targeting and fusion of ER to golgi transport vesicles,98,O,YDR472W
100,vertex,_id,TRS23 TRAPP subunit of 20 kDa involved in targeting and fusion of ER to golgi transport vesicles,100,O,YDR246W
101,vertex,_id,GSG1 sporulation specific protein,101,O,YDR108W
102,vertex,_id,TRS20 TRAPP subunit of 20 kDa involved in targeting and fusion of ER to golgi transport vesicles,102,O,YBR254C
103,vertex,_id,TRS130 TRAPP subunit of 130 kDa involved in targeting and fusion of ER to golgi transport vesicles,103,O,YMR218C
104,vertex,_id,"BET4 geranylgeranyl transferase,alpha chain",104,F,YJL031C
105,vertex,_id,BET2 geranylgeranyltransferase type II beta subunit,105,F,YPR176C
107,vertex,_id,BMH2 suppressor of clathrin deficiency,107,C,YDR099W
108,vertex,_id,PIK1 phosphatidylinositol 4-kinase,108,M,YNL267W
109,vertex,_id,"NTH2 alpha,alpha-trehalase",109,E,YBR001C
110,vertex,_id,"NTH1 neutral trehalase (alpha,alpha-trehalase)",110,M,YDR001C
113,vertex,_id,RTG2 retrograde regulation protein,113,M,YGL252C
116,vertex,_id,Unknow protein !!!,116,U,YGR285C
117,vertex,_id,PDR13 regulator protein involved in pleiotropic drug resistance,117,R,YHR064C
118,vertex,_id,BEM2 GTPase-activating protein,118,C,YER155C
119,vertex,_id,BUD2 GTPase-activating protein for Bud1p/RSR1P,119,C,YKL092C
120,vertex,_id,BUD20 weak similarity to human zinc finger protein,120,U,YLR074C
121,vertex,_id,RLP7 strong similarity to mammalian ribosomal L7 proteins,121,U,YNL002C
122,vertex,_id,NOG1 similarity to M.jannaschii GTP-binding protein,122,U,YPL093W
123,vertex,_id,YHR197w weak similarity to PIR:T22172 hypothetical protein F44E5.2 C. elegans,123,U,YHR197W
124,vertex,_id,YHR085w weak similarity to fruit fly brahma transcriptional activator,124,U,YHR085W
126,vertex,_id,TIF6 translation initiation factor 6 (eIF6),126,P,YPR016C
130,vertex,_id,YDR101c weak similarity to proliferation-associated protein,130,U,YDR101C
131,vertex,_id,YNL110c weak similarity to fruit fly RNA-binding protein,131,U,YNL110C
132,vertex,_id,KRE32 weak similarity to E.coli colicin N,132,U,YER126C
134,vertex,_id,SDA1 required for normal organization of the actin cytoskeleton; required for passage through Start,134,D,YGR245C
135,vertex,_id,YKR081c strong similarity to hypothetical protein S. pombe,135,U,YKR081C
137,vertex,_id,LHP1 RNA binding protein,137,T,YDL051W
138,vertex,_id,RRP13 similarity to zebrafish essential for embryonic development gene pescadillo,138,U,YGR103W
139,vertex,_id,CAP1 F-actin capping protein alpha subunit,139,C,YKL007W
140,vertex,_id,YER071c hypothetical protein,140,U,YER071C
141,vertex,_id,YIR003w weak similarity to mammalian neurofilament triplet H proteins,141,U,YIR003W
142,vertex,_id,"CAP2 F-actin capping protein,beta subunit",142,C,YIL034C
143,vertex,_id,CAR1 arginase,143,G,YPL111W
146,vertex,_id,CBC2 small subunit of the nuclear cap-binding protein complex CBC,146,T,YPL178W
148,vertex,_id,NPL3 nucleolar protein,148,O,YDR432W
150,vertex,_id,LUC7 yeast U1 snRNP protein with a role in 5 splice site recognition,150,T,YDL087C
151,vertex,_id,YML117w similarity to YPL184c,151,U,YML117W
152,vertex,_id,SMD2 U1 snRNP protein of the Sm class,152,T,YLR275W
153,vertex,_id,Unknow protein !!!,153,U,YMR125C
154,vertex,_id,"SNU56 U1 snRNA protein,no counterpart in mammalian snRNP",154,T,YDR240C
155,vertex,_id,NAM8 meiotic recombination protein,155,T,YHR086W
156,vertex,_id,KAP95 karyopherin-beta,156,O,YLR347C
157,vertex,_id,NRD1 involved in regulation of nuclear pre-mRNA abundance,157,T,YNL251C
158,vertex,_id,RSE1 involved in RNA splicing and ER to Golgi transport,158,O,YML049C
159,vertex,_id,NAB3 polyadenylated RNA-binding protein,159,T,YPL190C
161,vertex,_id,"TIF4632 mRNA cap-binding protein (eIF4F),130K subunit",161,P,YGL049C
163,vertex,_id,Unknow protein !!!,163,U,YCL059C
164,vertex,_id,SIK1 involved in pre-rRNA processing,164,T,YLR197W
165,vertex,_id,NOP4 nucleolar protein,165,T,YPL043W
166,vertex,_id,NOP1 fibrillarin,166,T,YDL014W
168,vertex,_id,NIP1 associated with 40s ribosomal subunit,168,P,YMR309C
169,vertex,_id,PUF6 similarity to hypothetical human and C.elegans proteins,169,U,YDR496C
170,vertex,_id,"TIF4631 mRNA cap-binding protein (eIF4F),150K subunit",170,P,YGR162W
171,vertex,_id,RRP12 hypothetical protein,171,U,YPL012W
174,vertex,_id,"CCL1 TFIIH subunit (transcription initiation factor),cyclin C component",174,T,YPR025C
175,vertex,_id,TFB3 TFIIH subunit (transcription/repair factor),175,T,YDR460W
176,vertex,_id,SPT7 involved in alteration of transcription start site selection,176,B,YBR081C
177,vertex,_id,YOR173w strong similarity to YLR270w,177,U,YOR173W
178,vertex,_id,KIN28 cyclin-dependent ser/thr protein kinase,178,D,YDL108W
179,vertex,_id,CCR4 transcriptional regulator,179,B,YAL021C
181,vertex,_id,CDC39 nuclear protein,181,B,YCR093W
182,vertex,_id,CAF40 strong similarity to C.elegans hypothetical protein,182,U,YNL288W
183,vertex,_id,POP2 required for glucose derepression,183,B,YNR052C
185,vertex,_id,GCN1 translational activator,185,P,YGL195W
187,vertex,_id,HSP42 heat shock protein,187,F,YDR171W
188,vertex,_id,"RSC2 member of RSC complex,which remodels the structure of chromatin",188,D,YLR357W
189,vertex,_id,CDC28 cyclin-dependent protein kinase,189,D,YBR160W
190,vertex,_id,CKS1 cyclin-dependent kinases regulatory subunit,190,D,YBR135W
191,vertex,_id,"CLN2 cyclin,G1/S-specific",191,C,YPL256C
192,vertex,_id,"CLN1 cyclin,G1/S-specific",192,D,YMR199W
193,vertex,_id,DAL7 malate synthase 2,193,M,YIR031C
194,vertex,_id,CDC3 cell division control protein,194,D,YLR314C
195,vertex,_id,SHS1 septin,195,C,YDL225W
196,vertex,_id,CDC12 septin,196,C,YHR107C
198,vertex,_id,CDC10 cell division control protein,198,D,YCR002C
199,vertex,_id,CDC33 translation initiation factor eIF4E,199,P,YOL139C
201,vertex,_id,ROM2 GDP/GTP exchange factor for RHO1P,201,C,YLR371W
203,vertex,_id,YBL004w weak similarity to Papaya ringspot virus polyprotein,203,U,YBL004W
204,vertex,_id,CDC36 transcription factor,204,B,YDL165W
206,vertex,_id,ATP11 F1F0-ATPase complex assembly protein,206,F,YNL315C
207,vertex,_id,CDC37 cell division control protein,207,D,YDR168W
208,vertex,_id,"TFC7 TFIIIC (transcription initiation factor) subunit,55 kDa",208,T,YOR110W
210,vertex,_id,COP1 coatomer complex alpha chain of secretory pathway vesicles,210,O,YDL145C
211,vertex,_id,CDC45 required for minichromosome maintenance and initiation of chromosomal DNA replication,211,D,YLR103C
213,vertex,_id,LYS12 homo-isocitrate dehydrogenase,213,G,YIL094C
214,vertex,_id,RPD3 histone deacetylase B,214,B,YNL330C
216,vertex,_id,ERG26 C-3 sterol dehydrogenase (C-4 decarboxylase),216,M,YGL001C
217,vertex,_id,CDC48 microsomal protein of CDC48/PAS1/SEC18 family of ATPases,217,D,YDL126C
219,vertex,_id,"MRPS28 ribosomal protein of the small subunit,mitochondrial",219,P,YDR337W
220,vertex,_id,SHP1 potential regulatory subunit for GLC7P,220,E,YBL058W
222,vertex,_id,BNI1 regulator of budding,222,C,YNL271C
223,vertex,_id,YDR049w similarity to C.elegans K06H7.3 protein,223,U,YDR049W
224,vertex,_id,RAI1 weak similarity to C.elegans dom-3 protein,224,U,YGL246C
225,vertex,_id,UFD1 ubiquitin fusion degradation protein,225,F,YGR048W
226,vertex,_id,CDC5 involved in regulation of DNA replication,226,D,YMR001C
227,vertex,_id,CDC55 ser/thr phosphatase 2A regulatory subunit B,227,C,YGL190C
228,vertex,_id,YBL104c weak similarity to S.pombe hypothetical protein SPAC12G12.01c,228,U,YBL104C
229,vertex,_id,IML1 similarity to C.elegans hypothetical protein T08A11.1,229,D,YJR138W
230,vertex,_id,MYO5 myosin I,230,C,YMR109W
231,vertex,_id,PPH22 protein ser/thr phosphatase PP2A-2,231,C,YDL188C
232,vertex,_id,PPH21 protein ser/thr phosphatase PP2A-1,232,C,YDL134C
234,vertex,_id,ZDS1 involved in negative regulation of cell polarity,234,B,YMR273C
235,vertex,_id,CIN1 chromosome segregation protein,235,D,YOR349W
236,vertex,_id,"TPD3 ser/thr protein phosphatase 2A,regulatory chain A",236,C,YAL016W
237,vertex,_id,HHF2 histone H4,237,B,YNL030W
238,vertex,_id,"TEF4 translation elongation factor eEF1,gamma chain",238,P,YKL081W
239,vertex,_id,YRA1 RNA annealing protein,239,T,YDR381W
240,vertex,_id,CDC8 dTMP kinase,240,M,YJR057W
241,vertex,_id,RPF1 similarity to hypothetical protein YNL075w,241,U,YHR088W
242,vertex,_id,Unknow protein !!!,242,U,YER002W
243,vertex,_id,YTM1 microtubule-interacting protein,243,D,YOR272W
244,vertex,_id,HIS3 imidazoleglycerol-phosphate dehydratase,244,G,YOR202W
245,vertex,_id,LOC1 weak similarity to rabbit triadin SPP41P,245,U,YFR001W
246,vertex,_id,DBP10 putative RNA helicase involved in ribosome biogenesis,246,T,YDL031W
247,vertex,_id,HDA1 histone deacetylase A,247,B,YNL021W
248,vertex,_id,DRS1 RNA helicase of the DEAD box family,248,T,YLL008W
249,vertex,_id,KRE35 similarity to putative human GTP-binding protein MMR1,249,U,YGL099W
252,vertex,_id,ERB1 weak similarity to A.thaliana PRL1 protein,252,U,YMR049C
253,vertex,_id,RPG1 translation initiation factor eIF3 (p110 subunit),253,P,YBR079C
254,vertex,_id,CEF1 required during G2/M transition,254,D,YMR213W
255,vertex,_id,HSH155 component of a multiprotein splicing factor,255,T,YMR288W
257,vertex,_id,ECM2 involved in cell wall biogenesis and architecture,257,C,YBR065C
258,vertex,_id,YGL128c weak similarity to dnaJ proteins,258,R,YGL128C
259,vertex,_id,PRP22 pre-mRNA splicing factor,259,T,YER013W
260,vertex,_id,SYF1 synthetic lethal with CDC40,260,T,YDR416W
261,vertex,_id,CLF1 strong similarity to Drosophila putative cell cycle control protein crn,261,D,YLR117C
262,vertex,_id,BUD31 strong similarity to Xenopus G10 and human edg-2 protein,262,U,YCR063W
263,vertex,_id,SNU114 U5 snRNP-specific protein,263,P,YKL173W
264,vertex,_id,PRP19 non-snRNP sliceosome component required for DNA repair,264,T,YLL036C
266,vertex,_id,PRP45 pre-mRNA splicing factor,266,T,YAL032C
267,vertex,_id,SNT309 splicing factor,267,T,YPR101W
268,vertex,_id,PRP43 involved in spliceosome disassembly,268,T,YGL120C
269,vertex,_id,YDL209c similarity to hypothetical S. pombe protein,269,U,YDL209C
270,vertex,_id,YGR278w similarity to C.elegans LET-858,270,U,YGR278W
271,vertex,_id,PRP2 RNA-dependent ATPase of DEAH box family,271,T,YNR011C
272,vertex,_id,"CEG1 mRNA guanylyltransferase (mRNA capping enzyme,alpha subunit)",272,T,YGL130W
273,vertex,_id,"SSA4 heat shock protein of HSP70 family,cytosolic",273,R,YER103W
275,vertex,_id,SPT16 general chromatin factor,275,D,YGL207W
276,vertex,_id,VPS1 member of the dynamin family of GTPases,276,F,YKR001C
277,vertex,_id,PDB1 pyruvate dehydrogenase (lipoamide) beta chain precursor,277,E,YBR221C
278,vertex,_id,TOP2 DNA topoisomerase II (ATP-hydrolysing),278,D,YNL088W
279,vertex,_id,YHR121w weak similarity to C.elegans hypothetical protein,279,U,YHR121W
281,vertex,_id,"CET1 RNA 5-triphosphatase (mRNA capping enzyme,beta subunit)",281,T,YPL228W
282,vertex,_id,YOL078w similarity to stress activated MAP kinase interacting protein S. pombe,282,U,YOL078W
284,vertex,_id,CFT1 pre-mRNA 3-end processing factor CF II,284,T,YDR301W
285,vertex,_id,"PFS2 polyadenylation factor I subunit 2 required for mRNA 3-end processing,bridges two mRNA 3-end processing factors",285,T,YNL317W
286,vertex,_id,YSH1 component of pre-mRNA polyadenylation factor PF I,286,T,YLR277C
287,vertex,_id,"CFT2 cleavage and polyadenylation specificity factor,part of CF II",287,T,YLR115W
288,vertex,_id,PTI1 weak similarity to PIR:A40220 cleavage stimulation factor 64K chain - human,288,U,YGR156W
289,vertex,_id,PTA1 pre-tRNA processing protein / PF I subunit,289,T,YAL043C
290,vertex,_id,"GLC7 ser/thr phosphoprotein phosphatase 1,catalytic chain",290,C,YER133W
291,vertex,_id,YKL059c similarity to C.elegans hypothetical protein,291,U,YKL059C
292,vertex,_id,PAP1 poly(A) polymerase,292,T,YKR002W
293,vertex,_id,REF2 RNA 3-end formation protein,293,T,YDR195W
294,vertex,_id,RNA14 component of pre-mRNA 3-end processing factor CF I,294,T,YMR061W
295,vertex,_id,YHL035c similarity to multidrug resistance proteins,295,A,YHL035C
296,vertex,_id,CHC1 clathrin heavy chain,296,O,YGL206C
299,vertex,_id,CKB2 casein kinase II beta chain,299,T,YOR039W
301,vertex,_id,CKA2 casein kinase II alpha chain,301,T,YOR061W
302,vertex,_id,"CKA1 casein kinase II,catalytic alpha chain",302,T,YIL035C
306,vertex,_id,YTA7 26S proteasome subunit,306,F,YGR270W
307,vertex,_id,TIF35 translation initiation factor eIF3 (p33 subunit),307,P,YDR429C
308,vertex,_id,HOT1 similarity to MSN1 protein,308,U,YMR172W
309,vertex,_id,PCA1 P-type Cu2+-transporting ATPase,309,A,YBR295W
311,vertex,_id,YPL014w hypothetical protein,311,U,YPL014W
312,vertex,_id,SIC1 p40 inhibitor of CDC28P-Clb protein kinase complex,312,D,YLR079W
313,vertex,_id,"CLB3 cyclin,G2/M-specific",313,D,YDL155W
314,vertex,_id,ISY1 pre-mRNA splicing factor,314,T,YJR050W
315,vertex,_id,CLP1 cleavage/polyadenylation factor IA subunit,315,T,YOR250C
316,vertex,_id,PCF11 component of pre-mRNA 3-end processing factor CF I,316,T,YDR228C
317,vertex,_id,RNA15 component of pre-mRNA 3-end processing factor CF I,317,T,YGL044C
318,vertex,_id,SEC31 component of the COPII coat of ER-golgi vesicles,318,O,YDL195W
319,vertex,_id,CNS1 weak similarity to stress-induced STI1P,319,U,YBR155W
320,vertex,_id,HGH1 weak similarity to human HMG1P and HMG2P,320,U,YGR187C
321,vertex,_id,SEC28 epsilon-COP coatomer subunit,321,O,YIL076W
323,vertex,_id,SEC21 coatomer complex gamma chain (gamma-COP) of secretory pathway vesicles,323,O,YNL287W
324,vertex,_id,RET3 coatomer complex zeta chain,324,O,YPL010W
325,vertex,_id,RET2 coatomer complex delta chain,325,O,YFR051C
326,vertex,_id,"COQ5 ubiquinone biosynthesis,methyltransferase",326,M,YML110C
327,vertex,_id,COQ6 monooxygenase,327,M,YGR255C
328,vertex,_id,COR1 ubiquinol--cytochrome-c reductase 44K core protein,328,E,YBL045C
329,vertex,_id,QCR2 ubiquinol--cytochrome-c reductase 40KD chain II,329,E,YPR191W
330,vertex,_id,COX9 cytochrome-c oxidase chain VIIA,330,E,YDL067C
331,vertex,_id,COX5A cytochrome-c oxidase chain V.A precursor,331,E,YNL052W
333,vertex,_id,COX4 cytochrome-c oxidase chain IV,333,E,YGL187C
334,vertex,_id,CPH1 cyclophilin (peptidylprolyl isomerase),334,F,YDR155C
335,vertex,_id,YCR033w similarity to nuclear receptor co-repressor N-Cor,335,U,YCR033W
336,vertex,_id,SNF2 component of SWI/SNF global transcription activator complex,336,B,YOR290C
337,vertex,_id,YIL112w similarity to ankyrin and coiled-coil proteins,337,U,YIL112W
338,vertex,_id,SIF2 SIR4P interacting protein,338,D,YBR103W
339,vertex,_id,CSL4 core component of the 3-5 exosome,339,M,YNL232W
341,vertex,_id,DIS3 3->5 exoribonuclease required for 3 end formation of 5.8S rRNA,341,T,YOL021C
342,vertex,_id,MTR3 involved in mRNA transport,342,T,YGR158C
344,vertex,_id,RRP42 rRNA processing protein,344,T,YDL111C
345,vertex,_id,SKI7 GTPase with function in 3-to-5 degradation of mRNA,345,M,YOR076C
346,vertex,_id,SKI6 3->5 exoribonuclease required for  end formation of 5.8S rRNA,346,T,YGR195W
347,vertex,_id,RRP6 similarity to human nucleolar 100K polymyositis-scleroderma protein,347,U,YOR001W
348,vertex,_id,RRP4 3->5 exoribonuclease required for  end formation of 5.8S rRNA,348,T,YHR069C
349,vertex,_id,Unknow protein !!!,349,U,YBR158W
352,vertex,_id,"RFC4 DNA replication factor C,37 kDa subunit",352,D,YOL094C
353,vertex,_id,"RFC3 DNA replication factor C,40 kDa subunit",353,D,YNL290W
354,vertex,_id,CTF8 weak similarity to hypothetical protein B24H17.20 Neurospora crassa,354,U,YHR191C
355,vertex,_id,VPS13 involved in regulating membrane traffic,355,F,YLL040C
356,vertex,_id,"DPB2 DNA-directed DNA polymerase epsilon,subunit B",356,D,YPR175W
357,vertex,_id,"CTK1 carboxy-terminal domain (CTD) kinase,alpha subunit",357,T,YKL139W
358,vertex,_id,"CTK3 carboxy-terminal domain (CTD) kinase,gamma subunit",358,T,YML112W
359,vertex,_id,SSE2 heat shock protein of the HSP70 family,359,R,YBR169C
360,vertex,_id,"CTK2 carboxy-terminal domain (CTD) kinase,beta subunit",360,B,YJL006C
361,vertex,_id,RTF1 regulates DNA binding properties of TBP,361,T,YGL244W
362,vertex,_id,CDC73 DNA-directed RNA polymerase II accessory protein,362,T,YLR418C
363,vertex,_id,PAF1 DNA-directed RNA polymerase II regulator,363,B,YBR279W
365,vertex,_id,CUS1 U2 snRNP protein,365,T,YMR240C
366,vertex,_id,LEA1 U2 A snRNP protein,366,T,YPL213W
367,vertex,_id,SMD3 spliceosomal snRNA-associated Sm core protein required for pre-mRNA splicing,367,T,YLR147C
368,vertex,_id,PRP21 pre-mRNA splicing factor,368,T,YJL203W
369,vertex,_id,PRP11 pre-mRNA splicing factor,369,T,YDL043C
370,vertex,_id,PRP9 pre-mRNA splicing factor (snRNA-associated protein),370,T,YDL030W
371,vertex,_id,SMB1 associated with U1 snRNP as part of the Sm-core that is common to all spliceosomal snRNPs,371,T,YER029C
372,vertex,_id,CYR1 adenylate cyclase,372,C,YJL005W
373,vertex,_id,"SRV2 adenylate cyclase-associated protein,70kDa",373,C,YNL138W
374,vertex,_id,PHO81 cyclin-dependent kinase inhibitor,374,M,YGR233C
378,vertex,_id,DCP2 suppressor protein of a yeast pet mutant,378,E,YNL118C
380,vertex,_id,YEL015w weak similarity to SPA2P,380,U,YEL015W
381,vertex,_id,"RPM2 ribonuclease P precursor,mitochondrial",381,T,YML091C
382,vertex,_id,RRP46 involved in rRNA processing,382,T,YGR095C
383,vertex,_id,"RRP40 protein involved in ribosomal RNA processing,component of the exosome complex responsible for  end processing and degradation of many RNA species",383,D,YOL142W
384,vertex,_id,YHR081w weak similarity to human C1D protein,384,U,YHR081W
385,vertex,_id,DNA2 DNA helicase,385,D,YHR164C
386,vertex,_id,LCD1 cell cycle checkpoint protein,386,D,YDR499W
387,vertex,_id,YHR122w similarity to hypothetical C. elegans protein F45G2.a,387,U,YHR122W
390,vertex,_id,"RPO31 DNA-directed RNA polymerase III,160 KD subunit",390,T,YOR116C
391,vertex,_id,"RPA190 DNA-directed RNA polymerase I,190 KD alpha subunit",391,T,YOR341W
392,vertex,_id,DOC1 component of the anaphase promoting complex,392,D,YGL240W
393,vertex,_id,DPB4 DNA polymerase II (epsilon) 4th subunit,393,T,YDR121W
394,vertex,_id,"DPB3 DNA-directed DNA polymerase epsilon,subunit C",394,D,YBR278W
395,vertex,_id,"DPS1 aspartyl-tRNA synthetase,cytosolic",395,P,YLL018C
396,vertex,_id,ECM1 involved in cell wall biosynthesis,396,C,YAL059W
397,vertex,_id,"LYS2 L-aminoadipate-semialdehyde dehydrogenase,large subunit",397,G,YBR115C
398,vertex,_id,KAP123 RAN-binding protein,398,O,YER110C
399,vertex,_id,PSE1 beta karyopherin,399,O,YMR308C
400,vertex,_id,SXM1 putative beta-karyopherin,400,O,YDR395W
402,vertex,_id,UME1 negative regulator of meiosis,402,D,YPL139C
403,vertex,_id,SDS3 transcriptional regulator,403,B,YIL084C
404,vertex,_id,PHO23 involved in transcriptional regulation of PHO5,404,B,YNL097C
405,vertex,_id,ECM21 involved in cell wall biogenesis and architecture,405,C,YBL101C
406,vertex,_id,EDE1 similarity to mouse eps15R protein,406,U,YBL047C
407,vertex,_id,YCR030c weak similarity to S.pombe hypothetical protein SPBC4C3.06,407,U,YCR030C
408,vertex,_id,YDR348c similarity to hypothetical protein YHR097c,408,U,YDR348C
410,vertex,_id,EHT1 alcohol acyl transferase,410,U,YBR177C
412,vertex,_id,IKI3 confers sensitivity to killer toxin,412,U,YLR384C
413,vertex,_id,IKI1 confers sensitivity to killer toxin,413,U,YHR187W
414,vertex,_id,ELP3 subunit of elongator/RNAPII holoenzyme with histone acetylase activity,414,D,YPL086C
415,vertex,_id,ELP4 RNA polymerase II Elongator protein subunit,415,T,YPL101W
416,vertex,_id,ENP1 effects N-glycosylation,416,F,YBR247C
417,vertex,_id,YOR056c weak similarity to human phosphorylation regulatory protein HP-10,417,U,YOR056C
418,vertex,_id,NOP14 nuclear and nucleolar protein with possible role in ribosome biogenesis,418,P,YDL148C
419,vertex,_id,IMP4 component of the U3 small nucleolar ribonucleoprotein,419,T,YNL075W
420,vertex,_id,IMP3 component of the U3 small nucleolar ribonucleoprotein,420,T,YHR148W
422,vertex,_id,TSR1 similarity to C.elegans hypothetical protein,422,U,YDL060W
