_id,_inV,_label,_outV,_type,item
1067,399,M-O,71,edge,_label
1068,71,O-M,399,edge,_label
1071,664,M-M,71,edge,_label
1096,71,C-M,1827,edge,_label
1108,72,D-R,1041,edge,_label
1109,1452,R-U,72,edge,_label
1122,73,D-F,714,edge,_label
1129,1114,F-F,73,edge,_label
1138,73,D-F,2143,edge,_label
1155,2257,R-D,74,edge,_label
1221,554,U-U,80,edge,_label
1234,80,D-U,2273,edge,_label
1329,94,O-M,93,edge,_label
1347,103,O-O,93,edge,_label
1354,94,O-M,456,edge,_label
1360,94,O-M,699,edge,_label
1384,101,O-O,102,edge,_label
1388,102,O-O,103,edge,_label
1389,1325,O-M,102,edge,_label
1416,107,U-C,1566,edge,_label
1505,2260,R-T,117,edge,_label
1511,767,C-P,118,edge,_label
1516,118,M-C,975,edge,_label
1535,124,U-U,120,edge,_label
1566,120,U-U,141,edge,_label
1597,834,U-D,120,edge,_label
1605,985,U-B,120,edge,_label
1611,1347,U-U,120,edge,_label
1629,1813,U-U,120,edge,_label
1648,121,T-U,697,edge,_label
1655,131,U-U,122,edge,_label
1662,122,U-U,135,edge,_label
1670,122,T-U,442,edge,_label
1673,996,U-P,122,edge,_label
1676,122,P-U,1106,edge,_label
1689,131,U-U,123,edge,_label
1699,767,U-P,123,edge,_label
1704,123,T-U,1120,edge,_label
1729,132,P-U,126,edge,_label
1733,135,P-U,126,edge,_label
1737,138,P-U,126,edge,_label
1752,126,U-P,242,edge,_label
1760,126,T-P,246,edge,_label
1775,302,P-T,126,edge,_label
1782,126,B-P,537,edge,_label
1795,2040,P-D,126,edge,_label
1841,135,U-U,130,edge,_label
1855,1106,U-P,130,edge,_label
1860,131,U-U,131,edge,_label
1888,131,T-U,248,edge,_label
1893,445,U-U,131,edge,_label
1900,131,P-U,1440,edge,_label
1908,132,U-U,135,edge,_label
1913,252,U-U,132,edge,_label
1916,132,T-U,442,edge,_label
1987,169,U-U,135,edge,_label
1988,135,U-U,169,edge,_label
2006,135,U-U,445,edge,_label
2024,135,C-U,1249,edge,_label
2026,135,T-U,1250,edge,_label
2037,2000,U-U,135,edge,_label
2075,170,T-P,137,edge,_label
2079,400,T-O,137,edge,_label
2082,137,T-T,490,edge,_label
2092,138,T-U,165,edge,_label
2099,246,U-T,138,edge,_label
2100,138,T-U,246,edge,_label
2102,138,U-U,252,edge,_label
2107,301,U-T,138,edge,_label
2110,138,T-U,302,edge,_label
2157,143,G-G,143,edge,_label
2158,143,G-G,143,edge,_label
2218,146,U-T,153,edge,_label
2224,146,O-T,156,edge,_label
2356,148,T-O,1011,edge,_label
2419,153,T-U,150,edge,_label
2429,170,T-P,150,edge,_label
2436,150,P-T,263,edge,_label
2437,367,T-T,150,edge,_label
2451,939,T-F,150,edge,_label
2455,1010,U-T,151,edge,_label
2466,152,D-T,254,edge,_label
2469,679,T-T,152,edge,_label
2475,1202,T-T,152,edge,_label
2482,153,O-U,156,edge,_label
2483,157,U-T,153,edge,_label
2487,159,U-T,153,edge,_label
2510,153,T-U,690,edge,_label
2531,1253,U-U,153,edge,_label
2539,1257,U-D,153,edge,_label
2579,845,T-T,155,edge,_label
2667,1010,P-T,161,edge,_label
2728,163,T-U,166,edge,_label
2750,163,U-U,428,edge,_label
2761,642,U-U,163,edge,_label
2769,649,U-U,163,edge,_label
2770,163,U-U,649,edge,_label
2776,163,O-U,656,edge,_label
2777,657,U-T,163,edge,_label
2782,164,T-T,165,edge,_label
2805,171,T-U,165,edge,_label
2841,1249,T-C,165,edge,_label
2863,644,T-C,166,edge,_label
2873,1714,T-B,166,edge,_label
2923,995,P-P,168,edge,_label
2928,168,T-P,1259,edge,_label
2939,442,U-T,169,edge,_label
2976,170,T-P,369,edge,_label
2984,170,P-P,498,edge,_label
2995,1011,P-T,170,edge,_label
3027,1915,U-U,171,edge,_label
3032,171,D-U,2010,edge,_label
3089,1227,B-T,176,edge,_label
3090,176,T-B,1227,edge,_label
3091,1228,B-B,176,edge,_label
3092,176,B-B,1228,edge,_label
3122,179,U-B,182,edge,_label
3173,946,B-D,183,edge,_label
3221,520,P-O,185,edge,_label
3301,1052,D-B,188,edge,_label
3314,189,M-D,193,edge,_label
3333,191,D-C,190,edge,_label
3356,190,C-D,2001,edge,_label
3362,191,F-C,1476,edge,_label
3370,194,C-D,195,edge,_label
3386,195,D-C,198,edge,_label
3388,195,E-C,632,edge,_label
3393,1176,C-M,195,edge,_label
3422,196,M-C,1971,edge,_label
3467,498,P-P,199,edge,_label
3468,199,P-P,498,edge,_label
3487,1392,P-U,199,edge,_label
3509,2022,P-T,199,edge,_label
3519,611,C-M,201,edge,_label
3546,203,U-U,428,edge,_label
3549,492,U-U,203,edge,_label
3558,203,P-U,767,edge,_label
3568,203,P-U,1100,edge,_label
3717,325,O-O,210,edge,_label
3746,210,U-O,1903,edge,_label
3747,2053,O-D,210,edge,_label
3754,210,U-O,2267,edge,_label
3759,213,D-G,211,edge,_label
3846,214,B-B,403,edge,_label
3859,1097,B-U,214,edge,_label
3883,224,D-U,217,edge,_label
3944,226,D-D,616,edge,_label
3953,1571,D-D,226,edge,_label
3955,1572,D-U,226,edge,_label
3961,228,C-U,227,edge,_label
3962,227,U-C,228,edge,_label
3973,234,C-B,227,edge,_label
3976,227,D-C,235,edge,_label
3985,549,C-B,227,edge,_label
3992,227,F-C,1587,edge,_label
4013,1337,D-F,229,edge,_label
4017,231,C-C,231,edge,_label
4018,231,C-C,231,edge,_label
4034,231,F-C,961,edge,_label
4039,964,C-F,231,edge,_label
4041,965,C-F,231,edge,_label
4046,231,F-C,967,edge,_label
4059,1043,C-U,231,edge,_label
4068,231,U-C,1307,edge,_label
4089,1307,C-U,232,edge,_label
4095,1680,C-C,232,edge,_label
4126,236,D-C,685,edge,_label
4131,1305,C-A,236,edge,_label
4146,237,T-B,272,edge,_label
4189,1287,P-P,238,edge,_label
4201,2078,P-U,238,edge,_label
4218,239,B-T,537,edge,_label
4221,885,T-B,239,edge,_label
4272,243,D-D,1896,edge,_label
4277,2104,D-F,243,edge,_label
4279,2105,D-U,243,edge,_label
4283,442,U-T,245,edge,_label
4290,245,U-U,1915,edge,_label
4294,246,T-T,302,edge,_label
4304,247,U-B,547,edge,_label
4387,1739,U-M,252,edge,_label
4388,252,M-U,1739,edge,_label
4389,1793,U-M,252,edge,_label
4410,253,T-P,272,edge,_label
4417,540,P-F,253,edge,_label
4420,253,T-P,721,edge,_label
4429,1101,P-P,253,edge,_label
4432,253,T-P,1259,edge,_label
4437,255,D-T,254,edge,_label
4452,254,U-D,262,edge,_label
4472,254,T-D,992,edge,_label
4494,257,T-C,264,edge,_label
4497,688,C-T,257,edge,_label
4517,261,D-D,261,edge,_label
4518,261,D-D,261,edge,_label
4540,262,T-U,992,edge,_label
4547,505,P-T,263,edge,_label
4553,679,P-T,263,edge,_label
4577,688,T-T,264,edge,_label
4578,264,T-T,688,edge,_label
4609,368,T-T,266,edge,_label
4610,266,T-T,368,edge,_label
4617,268,T-T,268,edge,_label
4620,268,T-T,272,edge,_label
4622,268,U-T,492,edge,_label
4629,688,T-T,268,edge,_label
4661,277,T-E,272,edge,_label
4664,272,D-T,278,edge,_label
4676,272,B-T,1714,edge,_label
4677,299,R-T,273,edge,_label
4684,275,D-D,275,edge,_label
4700,275,U-D,554,edge,_label
4719,827,F-D,276,edge,_label
4763,301,D-T,278,edge,_label
4767,824,D-U,278,edge,_label
4773,2131,D-U,278,edge,_label
4868,284,U-T,288,edge,_label
4869,289,T-T,284,edge,_label
4870,284,T-T,289,edge,_label
4874,284,U-T,291,edge,_label
4898,285,T-T,292,edge,_label
4901,294,T-T,285,edge,_label
4919,289,T-T,286,edge,_label
4925,292,T-T,286,edge,_label
4936,286,T-T,543,edge,_label
4951,293,T-T,287,edge,_label
4966,288,T-U,289,edge,_label
4972,288,T-U,293,edge,_label
4976,288,T-U,543,edge,_label
4979,1003,U-T,288,edge,_label
4984,289,C-T,290,edge,_label
5005,292,C-T,290,edge,_label
5032,290,D-C,1144,edge,_label
5041,1487,C-E,290,edge,_label
5054,290,O-C,1536,edge,_label
5055,1537,C-M,290,edge,_label
5056,290,M-C,1537,edge,_label
5059,1539,C-D,290,edge,_label
5069,293,U-T,291,edge,_label
5086,292,T-T,294,edge,_label
5108,293,T-T,1003,edge,_label
5110,294,T-T,294,edge,_label
5121,543,T-T,294,edge,_label
5122,294,T-T,543,edge,_label
5130,295,T-A,302,edge,_label
5170,299,F-T,306,edge,_label
5172,299,P-T,307,edge,_label
5173,308,T-U,299,edge,_label
5217,1808,T-B,301,edge,_label
5222,302,U-T,308,edge,_label
5249,1021,T-U,302,edge,_label
5278,302,B-T,1770,edge,_label
5350,307,P-P,996,edge,_label
5354,307,U-P,2267,edge,_label
5373,1109,O-T,318,edge,_label
5377,1152,O-T,318,edge,_label
5382,319,U-U,319,edge,_label
5388,319,G-U,1695,edge,_label
5417,429,O-G,325,edge,_label
5420,325,P-O,775,edge,_label
5422,325,A-O,1054,edge,_label
5424,326,M-M,326,edge,_label
5429,329,E-E,328,edge,_label
5442,328,T-E,2022,edge,_label
5450,328,U-E,2270,edge,_label
5463,2114,E-C,329,edge,_label
5482,334,U-F,335,edge,_label
5487,338,F-D,334,edge,_label
5489,581,F-T,334,edge,_label
5556,339,M-M,339,edge,_label
5567,345,M-M,339,edge,_label
5571,347,M-U,339,edge,_label
5604,342,T-T,346,edge,_label
5618,344,T-T,382,edge,_label
5629,1129,M-T,345,edge,_label
5631,346,T-T,346,edge,_label
5632,346,T-T,346,edge,_label
5712,352,U-D,1056,edge,_label
5723,1950,D-U,352,edge,_label
5754,355,B-F,1912,edge,_label
5756,355,U-F,2356,edge,_label
5775,425,T-C,357,edge,_label
5779,1960,T-O,357,edge,_label
5782,357,U-T,2006,edge,_label
5823,988,T-T,365,edge,_label
5826,365,T-T,1202,edge,_label
5848,367,T-T,1200,edge,_label
5853,1200,T-T,368,edge,_label
5858,369,D-T,643,edge,_label
5862,369,T-T,988,edge,_label
5886,370,T-T,992,edge,_label
5922,372,P-C,777,edge,_label
5942,373,C-C,1994,edge,_label
5950,374,U-M,430,edge,_label
5951,1568,M-D,374,edge,_label
5956,374,U-M,1983,edge,_label
6021,784,U-D,380,edge,_label
6030,382,U-T,384,edge,_label
6050,386,B-D,549,edge,_label
6104,390,T-T,566,edge,_label
6107,597,T-T,390,edge,_label
6110,390,B-T,622,edge,_label
6121,1071,T-T,390,edge,_label
6129,1089,T-T,390,edge,_label
6155,1072,T-T,391,edge,_label
6170,393,D-T,394,edge,_label
6182,396,G-C,397,edge,_label
6201,627,O-O,398,edge,_label
6205,664,O-M,398,edge,_label
6206,398,M-O,664,edge,_label
6214,398,P-O,1100,edge,_label
6216,398,P-O,1102,edge,_label
6221,1346,O-U,398,edge,_label
6232,399,B-O,549,edge,_label
6254,399,F-O,972,edge,_label
6297,1707,D-U,402,edge,_label
6314,406,D-U,784,edge,_label
6327,410,U-U,410,edge,_label
6346,416,U-F,417,edge,_label
6355,422,F-U,416,edge,_label
6366,416,U-F,427,edge,_label
6395,417,U-U,417,edge,_label
6396,417,U-U,417,edge,_label
6403,644,P-C,418,edge,_label
6407,644,T-C,419,edge,_label
6435,1412,U-U,422,edge,_label
6472,425,U-C,1915,edge,_label
6475,2010,C-D,425,edge,_label
6497,642,U-U,427,edge,_label
6503,1028,U-U,427,edge,_label
6507,428,U-U,428,edge,_label
6508,428,U-U,428,edge,_label
6509,433,U-T,428,edge,_label
6511,445,U-U,428,edge,_label
6522,428,D-U,643,edge,_label
6547,1808,U-B,428,edge,_label
6549,1814,U-P,428,edge,_label
6566,429,M-G,664,edge,_label
6573,943,G-F,429,edge,_label
6579,644,U-C,430,edge,_label
6581,1493,U-E,430,edge,_label
6588,431,D-R,784,edge,_label
6601,439,U-D,435,edge,_label
6606,435,B-U,441,edge,_label
6615,440,D-U,439,edge,_label
6634,441,B-B,1232,edge,_label
6666,442,P-T,881,edge,_label
6675,1516,T-A,442,edge,_label
6679,1981,T-U,442,edge,_label
6683,2040,T-D,442,edge,_label
6686,442,D-T,2257,edge,_label
6687,492,O-U,443,edge,_label
6718,446,P-M,995,edge,_label
6733,450,F-F,450,edge,_label
6734,450,F-F,450,edge,_label
6737,452,F-O,450,edge,_label
6744,450,F-F,905,edge,_label
6782,456,O-O,458,edge,_label
6809,1406,B-U,461,edge,_label
6864,469,D-O,1377,edge,_label
6872,472,P-T,498,edge,_label
6896,478,O-F,516,edge,_label
6897,581,F-T,478,edge,_label
6898,478,T-F,581,edge,_label
6909,1600,F-R,478,edge,_label
6967,588,F-F,486,edge,_label
6972,486,D-F,1033,edge,_label
6975,1114,F-F,486,edge,_label
6993,492,T-U,490,edge,_label
7001,492,U-U,491,edge,_label
7006,491,T-U,872,edge,_label
7008,491,C-U,1249,edge,_label
7046,492,B-U,1638,edge,_label
7054,492,T-U,1917,edge,_label
7090,494,P-P,498,edge,_label
7098,494,P-P,502,edge,_label
7105,833,E-D,495,edge,_label
7134,496,C-P,2090,edge,_label
7142,497,P-P,498,edge,_label
7157,499,P-P,498,edge,_label
7177,511,P-M,499,edge,_label
7187,1043,P-U,499,edge,_label
7221,2061,P-F,499,edge,_label
7256,501,D-P,1136,edge,_label
7268,503,T-P,504,edge,_label
7269,505,P-T,503,edge,_label
7291,988,T-T,504,edge,_label
7295,1202,T-T,504,edge,_label
7297,1645,T-D,504,edge,_label
7338,505,T-T,992,edge,_label
7442,509,T-T,673,edge,_label
7444,509,T-T,679,edge,_label
7453,989,T-T,509,edge,_label
7459,1202,T-T,509,edge,_label
7471,1167,P-M,510,edge,_label
7472,510,M-P,1167,edge,_label
7506,516,D-O,2273,edge,_label
7507,517,O-O,517,edge,_label
7529,523,B-B,523,edge,_label
7530,523,B-B,523,edge,_label
7535,1515,C-U,524,edge,_label
7538,524,E-C,1616,edge,_label
7545,526,M-M,526,edge,_label
7546,526,M-M,526,edge,_label
7581,1179,B-D,537,edge,_label
7599,1593,B-M,537,edge,_label
7607,1597,B-U,537,edge,_label
7636,541,U-B,2092,edge,_label
7652,544,T-U,697,edge,_label
7668,544,D-U,2096,edge,_label
7673,872,T-T,545,edge,_label
7691,553,B-M,549,edge,_label
7712,549,U-B,563,edge,_label
7721,568,B-D,549,edge,_label
7724,549,D-B,784,edge,_label
7733,1714,B-B,549,edge,_label
7740,549,C-B,2002,edge,_label
7751,850,M-C,550,edge,_label
7767,1020,U-B,554,edge,_label
7781,657,G-T,555,edge,_label
7830,566,T-T,1071,edge,_label
7840,566,T-T,1088,edge,_label
7847,1120,T-T,566,edge,_label
7855,1525,T-B,566,edge,_label
7872,566,O-T,1548,edge,_label
7875,1550,T-M,566,edge,_label
7878,566,R-T,1551,edge,_label
7880,566,E-T,1552,edge,_label
7886,566,U-T,1555,edge,_label
7956,578,T-P,2022,edge,_label
7965,851,T-U,581,edge,_label
7967,2010,T-D,581,edge,_label
7972,582,D-D,2189,edge,_label
8018,584,F-F,1113,edge,_label
8083,684,F-E,586,edge,_label
8122,587,F-F,1122,edge,_label
8151,1113,F-F,588,edge,_label
8156,588,F-F,1117,edge,_label
8192,588,D-F,2251,edge,_label
8258,593,U-B,2009,edge,_label
8305,875,T-T,597,edge,_label
8306,597,T-T,875,edge,_label
8340,601,U-P,2318,edge,_label
8343,603,D-D,603,edge,_label
8344,603,D-D,603,edge,_label
8363,612,M-U,611,edge,_label
8371,784,M-D,611,edge,_label
8379,2053,M-D,611,edge,_label
8397,827,B-D,622,edge,_label
8407,874,B-C,625,edge,_label
8430,627,F-O,1113,edge,_label
8445,1579,O-M,627,edge,_label
8447,1602,O-E,627,edge,_label
8456,627,O-O,1651,edge,_label
8468,627,D-O,1657,edge,_label
8482,628,M-C,664,edge,_label
8491,1034,C-F,628,edge,_label
8496,628,P-C,1100,edge,_label
8509,630,B-B,630,edge,_label
8510,630,B-B,630,edge,_label
8511,631,E-E,631,edge,_label
8512,631,E-E,631,edge,_label
8518,631,P-E,634,edge,_label
8520,631,U-E,982,edge,_label
8525,1114,E-F,631,edge,_label
8532,631,D-E,2040,edge,_label
8538,632,G-E,633,edge,_label
8546,633,C-G,1554,edge,_label
8572,641,U-D,1028,edge,_label
8594,643,U-D,1022,edge,_label
8602,643,F-D,2020,edge,_label
8615,657,C-T,644,edge,_label
8654,647,U-U,1028,edge,_label
8673,1602,U-E,648,edge,_label
8710,653,U-U,1812,edge,_label
8751,1590,C-O,661,edge,_label
8760,661,F-C,2294,edge,_label
8769,1766,U-T,663,edge,_label
8787,668,M-O,664,edge,_label
8795,1912,O-B,665,edge,_label
8796,665,B-O,1912,edge,_label
8841,677,T-U,673,edge,_label
8846,674,U-T,677,edge,_label
8874,679,D-T,680,edge,_label
8893,727,E-B,684,edge,_label
8919,1203,T-U,688,edge,_label
8920,688,U-T,1203,edge,_label
8938,691,T-T,845,edge,_label
8939,1028,T-U,691,edge,_label
8953,696,F-E,694,edge,_label
8959,699,T-O,697,edge,_label
8962,697,R-T,700,edge,_label
8967,699,O-O,699,edge,_label
8968,699,O-O,699,edge,_label
8981,2238,O-F,699,edge,_label
8993,704,F-C,703,edge,_label
9017,710,D-D,708,edge,_label
9042,713,T-G,1259,edge,_label
9111,1194,T-M,722,edge,_label
9118,723,B-B,1068,edge,_label
9128,724,D-B,2308,edge,_label
9132,725,B-T,1068,edge,_label
9149,732,B-T,727,edge,_label
9156,727,T-B,736,edge,_label
9165,741,B-T,727,edge,_label
9180,727,B-B,1068,edge,_label
9191,1068,T-B,730,edge,_label
9203,1068,T-B,731,edge,_label
9207,1068,T-B,732,edge,_label
9219,1236,B-T,733,edge,_label
9233,1236,T-T,736,edge,_label
9277,1275,B-B,744,edge,_label
9280,745,B-T,1068,edge,_label
9287,811,B-B,748,edge,_label
9315,749,G-G,749,edge,_label
9316,749,G-G,749,edge,_label
9405,767,U-P,762,edge,_label
9408,763,U-U,765,edge,_label
9412,764,U-U,765,edge,_label
9413,767,U-P,764,edge,_label
9422,765,P-U,771,edge,_label
9423,772,U-P,765,edge,_label
9437,771,P-P,767,edge,_label
9438,767,P-P,771,edge,_label
9441,773,P-P,767,edge,_label
9467,777,P-P,775,edge,_label
9469,778,P-P,775,edge,_label
9478,775,P-P,782,edge,_label
9504,775,P-P,795,edge,_label
9528,777,C-P,799,edge,_label
9559,997,D-C,784,edge,_label
9595,1482,D-E,784,edge,_label
9634,784,P-D,1501,edge,_label
9644,788,B-P,1068,edge,_label
9651,888,P-O,790,edge,_label
9652,790,O-P,888,edge,_label
9673,888,P-O,798,edge,_label
9717,1187,B-F,811,edge,_label
9720,811,T-B,1227,edge,_label
9726,811,T-B,1268,edge,_label
9727,1272,B-B,811,edge,_label
9741,1678,B-F,811,edge,_label
9773,2022,U-T,824,edge,_label
9781,941,P-E,826,edge,_label
9792,826,M-P,1311,edge,_label
9796,826,D-P,1378,edge,_label
9822,827,D-D,830,edge,_label
9853,1624,D-F,829,edge,_label
9866,833,D-D,833,edge,_label
9877,1031,D-O,833,edge,_label
9918,836,U-D,1886,edge,_label
9921,2003,D-U,836,edge,_label
9945,845,T-T,845,edge,_label
9946,845,T-T,845,edge,_label
9949,846,D-D,846,edge,_label
9950,846,D-D,846,edge,_label
9952,846,M-D,847,edge,_label
9963,856,O-C,849,edge,_label
9999,1518,D-U,854,edge,_label
10004,854,R-D,1600,edge,_label
10014,854,F-D,1605,edge,_label
10015,1606,D-C,854,edge,_label
10047,865,T-P,864,edge,_label
10067,2208,T-T,870,edge,_label
10069,873,T-U,872,edge,_label
10071,2257,T-D,872,edge,_label
10078,874,B-C,876,edge,_label
10082,875,T-T,1070,edge,_label
10090,875,T-T,1089,edge,_label
10096,875,T-T,1092,edge,_label
10125,886,B-M,885,edge,_label
10193,902,M-M,902,edge,_label
10194,902,M-M,902,edge,_label
10225,1147,O-O,907,edge,_label
10251,2267,P-U,910,edge,_label
10320,931,D-D,931,edge,_label
10326,933,C-C,1726,edge,_label
10330,934,F-O,935,edge,_label
10334,934,O-O,937,edge,_label
10341,1276,O-C,934,edge,_label
10342,934,C-O,1276,edge,_label
10345,937,O-O,936,edge,_label
10357,940,F-O,939,edge,_label
10388,946,D-D,950,edge,_label
10389,2084,D-U,947,edge,_label
10401,957,T-T,951,edge,_label
10423,967,F-F,960,edge,_label
10448,963,F-F,972,edge,_label
10515,975,C-M,973,edge,_label
10524,973,G-C,1618,edge,_label
10525,1678,C-F,973,edge,_label
10546,978,C-U,1175,edge,_label
10567,1891,U-U,982,edge,_label
10612,992,O-T,993,edge,_label
10622,995,E-P,1534,edge,_label
10634,995,P-P,1776,edge,_label
10640,995,M-P,1781,edge,_label
10648,996,A-P,1099,edge,_label
10659,1638,B-B,1001,edge,_label
10669,1007,U-U,1004,edge,_label
10701,2261,U-U,1007,edge,_label
10702,1007,U-U,2261,edge,_label
10737,1187,U-F,1016,edge,_label
10747,2010,U-D,1016,edge,_label
10749,2257,U-D,1016,edge,_label
10787,1493,T-E,1025,edge,_label
10794,1025,F-T,1767,edge,_label
10796,1025,P-T,1852,edge,_label
10814,1028,E-U,1741,edge,_label
10825,2022,O-T,1031,edge,_label
10849,1112,F-F,1034,edge,_label
10857,1122,F-F,1034,edge,_label
10898,1038,R-D,1949,edge,_label
10909,1615,B-F,1040,edge,_label
10919,1041,D-D,1041,edge,_label
10920,1041,D-D,1041,edge,_label
10921,1042,D-G,1041,edge,_label
10922,1041,G-D,1042,edge,_label
10925,1044,D-G,1041,edge,_label
10937,1817,G-F,1042,edge,_label
11019,1602,D-E,1055,edge,_label
11035,1059,C-C,1059,edge,_label
11055,1311,D-M,1063,edge,_label
11057,1321,D-M,1063,edge,_label
11066,1063,F-D,1815,edge,_label
11097,1070,T-T,1069,edge,_label
11123,1563,T-F,1071,edge,_label
11124,1071,F-T,1563,edge,_label
11130,1072,F-T,1563,edge,_label
11149,1082,T-U,1076,edge,_label
11203,1087,T-T,1087,edge,_label
11204,1087,T-T,1087,edge,_label
11205,1088,T-T,1087,edge,_label
11214,1098,U-U,1171,edge,_label
11229,1103,P-U,1102,edge,_label
11247,1392,T-U,1109,edge,_label
11256,1111,F-F,1817,edge,_label
11264,1113,F-F,1114,edge,_label
11285,1124,F-U,1114,edge,_label
11289,1767,F-F,1114,edge,_label
11316,1122,F-F,1817,edge,_label
11321,1421,D-U,1123,edge,_label
11328,1124,U-U,1126,edge,_label
11330,1124,U-U,1127,edge,_label
11338,1130,R-R,2188,edge,_label
11400,1144,P-D,1584,edge,_label
11439,1392,T-U,1152,edge,_label
11453,1154,F-F,1154,edge,_label
11454,1154,F-F,1154,edge,_label
11457,1157,F-O,1154,edge,_label
11460,1159,F-F,2135,edge,_label
11461,1161,U-U,1161,edge,_label
11470,1162,M-G,1164,edge,_label
11486,1172,F-B,1476,edge,_label
11494,1172,A-B,1845,edge,_label
11507,1714,T-B,1177,edge,_label
11541,1294,F-M,1187,edge,_label
11554,1187,D-F,1923,edge,_label
11574,1188,U-C,1191,edge,_label
11601,1198,O-O,1197,edge,_label
11613,1202,T-T,1200,edge,_label
11662,1208,U-B,1803,edge,_label
11680,1213,B-B,1214,edge,_label
11711,1234,B-U,1232,edge,_label
11712,1232,U-B,1234,edge,_label
11756,1250,U-T,1915,edge,_label
11765,1557,U-E,1255,edge,_label
11772,1256,C-T,1680,edge,_label
11777,1259,T-T,1259,edge,_label
11781,1261,P-P,1261,edge,_label
11784,1261,F-P,1262,edge,_label
11794,1268,B-T,1326,edge,_label
11834,1287,O-P,2202,edge,_label
11852,1294,D-M,2308,edge,_label
11857,1299,G-G,1299,edge,_label
11858,1299,G-G,1299,edge,_label
11884,1309,C-C,1680,edge,_label
11893,1585,C-C,1310,edge,_label
11895,1618,C-G,1310,edge,_label
11906,1310,F-C,2102,edge,_label
11917,1315,M-G,1311,edge,_label
11936,1311,B-M,1912,edge,_label
11969,1817,G-F,1331,edge,_label
11979,1335,F-F,1335,edge,_label
11980,1335,F-F,1335,edge,_label
11985,1338,F-G,1337,edge,_label
11986,1337,G-F,1338,edge,_label
11992,1337,B-F,1341,edge,_label
12008,1337,D-F,1648,edge,_label
12020,1345,R-C,1966,edge,_label
12050,1352,E-O,1356,edge,_label
12054,1353,U-A,1870,edge,_label
12055,2173,A-U,1353,edge,_label
12056,1353,U-A,2173,edge,_label
12098,1368,O-O,1369,edge,_label
12105,1373,C-O,1372,edge,_label
12121,1618,D-G,1377,edge,_label
12133,1646,D-F,1377,edge,_label
12140,1377,U-D,1649,edge,_label
12172,1386,U-B,1387,edge,_label
12273,1734,R-U,1418,edge,_label
12341,1501,D-P,1442,edge,_label
12342,1442,P-D,1501,edge,_label
12423,1445,D-D,1445,edge,_label
12424,1445,D-D,1445,edge,_label
12433,1896,M-D,1449,edge,_label
12448,1452,T-U,1455,edge,_label
12449,1456,U-U,1452,edge,_label
12479,1472,E-E,1472,edge,_label
12487,1477,D-M,1475,edge,_label
12489,1771,F-D,1476,edge,_label
12490,1476,D-F,1771,edge,_label
12504,1476,F-F,2307,edge,_label
12505,2308,F-D,1476,edge,_label
12516,1478,M-E,1931,edge,_label
12518,1478,D-E,1948,edge,_label
12524,1479,C-U,2056,edge,_label
12527,1491,A-C,1480,edge,_label
12548,1484,U-E,1969,edge,_label
12549,2022,E-T,1484,edge,_label
